name,residential_cluster,work_cluster,target,mins,line,remarks
HarbourFront,1,9,Outram Park,3,north-east,
Outram Park,1,9,Chinatown,3,north-east,
Chinatown,1,9,Clarke Quay,3,north-east,
Clarke Quay,1,9,Dhoby Ghaut,3,north-east,
Dhoby Ghaut,1,9,Little India,3,north-east,
Little India,2,8,Farrer Park,3,north-east,
Farrer Park,3,7,Boon Keng,3,north-east,
Boon Keng,4,6,Potong Pasir,3,north-east,
Potong Pasir,7,3,Woodleigh,3,north-east,
Woodleigh,8,2,Serangoon,3,north-east,
Serangoon,8,2,Kovan,3,north-east,
Kovan,8,2,Hougang,3,north-east,
Hougang,9,2,Buangkok,3,north-east,
Buangkok,9,2,Sengkang,3,north-east,
Sengkang,9,2,Punggol,3,north-east,
Punggol,9,2,,3,north-east,
Jurong East,,,Bukit Batok,3,north-south,
Bukit Batok,,,Bukit Gombak,3,north-south,
Bukit Gombak,,,Choa Chu Kang,3,north-south,
Choa Chu Kang,,,Yew Tee,3,north-south,
Yew Tee,,,Kranji,3,north-south,
Kranji,,,Marsiling,3,north-south,
Marsiling,,,Woodlands,3,north-south,
Woodlands,,,Admiralty,3,north-south,
Admiralty,,,Sembawang,3,north-south,
Sembawang,,,Canberra,3,north-south,
Canberra,,,Yishun,3,north-south,
Yishun,,,Khatib,3,north-south,
Khatib,,,Yio Chu Kang,3,north-south,
Yio Chu Kang,,,Ang Mo Kio,3,north-south,
Ang Mo Kio,,,Bishan,3,north-south,
Bishan,,,Braddell,3,north-south,
Braddell,,,Toa Payoh,3,north-south,
Toa Payoh,,,Novena,3,north-south,
Novena,,,Newton,3,north-south,
Newton,,,Orchard,3,north-south,
Orchard,,,Somerset,3,north-south,
Somerset,,,Dhoby Ghaut,3,north-south,
Dhoby Ghaut,,,City Hall,3,north-south,
City Hall,,,Raffles Place,3,north-south,
Raffles Place,,,Marina Bay,3,north-south,
Marina Bay,,,Marina South Pier,3,north-south,
Marina South Pier,,,,3,north-south,
Pasir Ris,,,Tampines,3,east-west,
Tampines,,,Simei,3,east-west,
Simei,,,Tanah Merah,3,east-west,
Changi Airport,,,Expo,3,east-west,
Expo,,,Tanah Merah,3,east-west,
Tanah Merah,,,Bedok,3,east-west,connected to simei and expo
Bedok,,,Kembangan,3,east-west,
Kembangan,,,Eunos,3,east-west,
Eunos,,,Paya Lebar,3,east-west,
Paya Lebar,,,Aljunied,3,east-west,
Aljunied,,,Kallang,3,east-west,
Kallang,,,Lavender,3,east-west,
Lavender,,,Bugis,3,east-west,
Bugis,,,City Hall,3,east-west,
City Hall,,,Raffles Place,3,east-west,
Raffles Place,,,Tanjong Pagar,3,east-west,
Tanjong Pagar,,,Outram Park,3,east-west,
Outram Park,,,Tiong Bahru,3,east-west,
Tiong Bahru,,,Redhill,3,east-west,
Redhill,,,Queenstown,3,east-west,
Queenstown,,,Commonwealth,3,east-west,
Commonwealth,,,Buona Vista,3,east-west,
Buona Vista,,,Dover,3,east-west,
Dover,,,Clementi,3,east-west,
Clementi,,,Jurong East,3,east-west,
Jurong East,,,Chinese Garden,3,east-west,
Chinese Garden,,,Lakeside,3,east-west,
Lakeside,,,Boon Lay,3,east-west,
Boon Lay,,,Pioneer,3,east-west,
Pioneer,,,Joo Koon,3,east-west,
Joo Koon,,,Gul Circle,3,east-west,
Gul Circle,,,Tuas Crescent,3,east-west,
Tuas Crescent,,,Tuas West Road,3,east-west,
Tuas West Road,,,Tuas Link,3,east-west,
Tuas Link,,,,3,east-west,
Dhoby Ghaut,,,Bras Basah,3,circle,
Bras Basah,,,Esplanade,3,circle,
Esplanade,,,Promenade,3,circle,
Marina Bay,,,Bayfront,3,circle,
Bayfront,,,Promenade,3,circle,
Promenade,,,Nicoll Highway,3,circle,connected to esplanade and bayfront
Nicoll Highway,,,Stadium,3,circle,
Stadium,,,Mountbatten,3,circle,
Mountbatten,,,Dakota,3,circle,
Dakota,,,Paya Lebar,3,circle,
Paya Lebar,,,MacPherson,3,circle,
MacPherson,,,Tai Seng,3,circle,
Tai Seng,,,Bartley,3,circle,
Bartley,,,Serangoon,3,circle,
Serangoon,,,Lorong Chuan,3,circle,
Lorong Chuan,,,Bishan,3,circle,
Bishan,,,Marymount,3,circle,
Marymount,,,Caldecott,3,circle,
Caldecott,,,Bukit Brown,3,circle,
Bukit Brown,,,Botanic Gardens,3,circle,
Botanic Gardens,,,Farrer Road,3,circle,
Farrer Road,,,Holland Village,3,circle,
Holland Village,,,Buona Vista,3,circle,
Buona Vista,,,one-north,3,circle,
one-north,,,Kent Ridge,3,circle,
Kent Ridge,,,Haw Par Villa,3,circle,
Haw Par Villa,,,Pasir Panjang,3,circle,
Pasir Panjang,,,Labrador Park,3,circle,
Labrador Park,,,Telok Blangah,3,circle,
Telok Blangah,,,HarbourFront,3,circle,
HarbourFront,,,,3,circle,
Bukit Panjang,,,Cashew,3,downtown,
Cashew,,,Hillview,3,downtown,
Hillview,,,Beauty World,3,downtown,
Beauty World,,,King Albert Park,3,downtown,
King Albert Park,,,Sixth Avenue,3,downtown,
Sixth Avenue,,,Tan Kah Kee,3,downtown,
Tan Kah Kee,,,Botanic Gardens,3,downtown,
Botanic Gardens,,,Stevens,3,downtown,
Stevens,,,Newton,3,downtown,
Newton,,,Little India,3,downtown,
Little India,,,Rochor,3,downtown,
Rochor,,,Bugis,3,downtown,
Bugis,,,Promenade,3,downtown,
Promenade,,,Bayfront,3,downtown,
Bayfront,,,Downtown,3,downtown,
Downtown,,,Telok Ayer,3,downtown,
Telok Ayer,,,Chinatown,3,downtown,
Chinatown,,,Fort Canning,3,downtown,
Fort Canning,,,Bencoolen,3,downtown,
Bencoolen,,,Jalan Besar,3,downtown,
Jalan Besar,,,Bendemeer,3,downtown,
Bendemeer,,,Geylang Bahru,3,downtown,
Geylang Bahru,,,Mattar,3,downtown,
Mattar,,,MacPherson,3,downtown,
MacPherson,,,Ubi,3,downtown,
Ubi,,,Kaki Bukit,3,downtown,
Kaki Bukit,,,Bedok North,3,downtown,
Bedok North,,,Bedok Reservoir,3,downtown,
Bedok Reservoir,,,Tampines West,3,downtown,
Tampines West,,,Tampines,3,downtown,
Tampines,,,Tampines East,3,downtown,
Tampines East,,,Upper Changi,3,downtown,
Upper Changi,,,Expo,3,downtown,
Expo,,,,3,downtown,
